date,numTrips
2013-09-13,5992
2013-07-12,2552
2013-10-18,5080
2013-12-03,3536
2013-09-22,7808
2013-11-01,4102
2013-12-26,785
2013-11-30,2141
2013-08-11,5730
2013-08-18,7798
2013-10-03,4845
2013-09-05,5956
2013-07-20,3655
2013-12-11,1207
2013-11-09,4972
2013-08-03,5959
2013-07-07,2377
2013-10-27,3855
2013-09-29,7819
2013-07-28,3349
2013-12-19,2381
2013-11-17,1420
2013-08-12,3983
2013-08-27,5109
2013-10-08,7022
2013-09-12,6090
2013-07-15,2028
2013-10-19,5132
2013-12-04,3889
2013-09-21,8839
2013-12-27,1594
2013-11-25,2159
2013-08-04,5487
2013-08-19,5709
2013-09-04,6022
2013-07-23,2671
2013-12-12,1241
2013-11-08,4459
2013-08-28,5335
2013-07-06,3001
2013-10-24,4301
2013-09-28,10573
2013-07-31,2294
2013-12-20,1632
2013-11-16,2101
2013-08-13,4724
2013-08-20,5921
2013-10-09,7141
2013-09-11,5530
2013-07-14,3309
2013-10-16,5539
2013-12-05,2853
2013-09-20,6560
2013-11-03,4054
2013-12-28,1899
2013-11-24,950
2013-08-05,3381
2013-07-01,1559
2013-10-01,6875
2013-09-03,5951
2013-07-22,2734
2013-12-13,1858
2013-06-30,1812
2013-11-11,2273
2013-08-29,5828
2013-07-09,1502
2013-10-25,4708
2013-09-27,7875
2013-07-30,2412
2013-12-21,704
2013-11-19,3567
2013-08-14,4726
2013-08-21,5722
2013-10-14,7469
2013-09-10,5612
2013-07-17,1825
2013-10-17,3562
2013-12-06,2338
2013-09-19,4770
2013-11-02,3218
2013-12-29,625
2013-11-27,1936
2013-08-06,3913
2013-10-06,5821
2013-09-02,9101
2013-07-25,2810
2013-12-14,346
2013-11-10,3850
2013-08-30,5191
2013-07-08,1105
2013-10-30,3860
2013-09-26,6742
2013-11-05,4640
2013-12-22,635
2013-11-18,3269
2013-08-15,4811
2013-08-22,3856
2013-10-15,5271
2013-09-09,5618
2013-07-16,2057
2013-10-22,3814
2013-12-07,1067
2013-09-18,4292
2013-11-13,3133
2013-12-30,933
2013-11-26,2715
2013-08-07,3264
2013-07-03,1007
2013-10-07,6042
2013-09-01,9804
2013-07-24,2663
2013-12-15,432
2013-06-28,897
2013-11-21,3173
2013-08-31,5107
2013-07-11,2308
2013-10-31,1681
2013-09-25,6356
2013-11-04,4871
2013-12-23,1086
2013-11-29,1282
2013-08-08,4396
2013-08-23,7072
2013-10-12,8500
2013-09-08,6403
2013-07-19,2004
2013-10-23,4169
2013-12-08,488
2013-09-17,6121
2013-11-12,2960
2013-12-31,512
2013-07-02,1108
2013-10-04,7400
2013-07-27,3334
2013-12-16,1255
2013-06-29,1201
2013-11-20,3336
2013-08-24,9811
2013-09-15,1606
2013-07-10,1901
2013-10-28,4551
2013-12-01,1396
2013-09-24,6400
2013-11-07,4080
2013-12-24,389
2013-11-28,597
2013-08-09,4975
2013-08-16,6132
2013-10-13,8966
2013-09-07,8650
2013-07-18,1728
2013-10-20,4845
2013-12-09,1317
2013-09-16,5358
2013-11-15,4098
2013-08-01,3568
2013-07-05,2463
2013-10-05,5986
2013-07-26,2157
2013-12-17,1647
2013-11-23,1350
2013-08-25,8272
2013-10-10,7860
2013-09-14,8953
2013-07-13,3345
2013-10-29,4984
2013-12-02,3248
2013-09-23,5934
2013-11-06,2612
2013-12-25,125
2013-08-10,7148
2013-08-17,8299
2013-10-02,7180
2013-09-06,7186
2013-07-21,3545
2013-10-21,4821
2013-12-10,1270
2013-11-14,3598
2013-08-02,3394
2013-07-04,2956
2013-10-26,4146
2013-09-30,7109
2013-07-29,3108
2013-12-18,1985
2013-06-27,95
2013-11-22,3094
2013-08-26,5887
2013-10-11,9269
